Set Index,TSI avg,TSI max,TO avg,TO max,WS-BM,Max-BM,SSU min,SSU avg,SSTU min,SSTU avg,BN% max,Max Defect Component,BN% avg,WSAS,WSIS,WSAS-M,WSIS-M,Verboten,Spurious,dG Error,dG Range
0,0.04887848424666667,0.06872706905,4.233193610933889,11.88424111695,51.0,7,0.3995,0.963836755939773,0.4292,0.9526374857549857,5.495681726956504,r0-Trans,3.3073605866212383,1.0,230.0,0.0,2761.0,358.5,360.13553,0.023571428571428577,0.39000000000000057
1,0.05483632362333334,0.08962683244999999,5.33629939384389,13.252084098800005,49.0,6,0.3952,0.9621610049704877,0.3956,0.9417522863247864,5.326116543478243,r1-Trans,3.155511510069575,6.0,270.0,0.0,2898.0,386.5,399.2296,0.02071428571428502,0.39000000000000057
2,0.04473997289,0.0633920053,9.329399407111667,20.353689823899998,29.0,6,0.4166,0.9694595985231761,0.4166,0.9567075997150997,7.01957984152173,r0-Trans,3.5028120236587603,4.0,218.0,0.0,2999.0,356.5,375.44299,0.02071428571428502,0.39000000000000057
